County,Municipality,Precinct,USC,STS,STH,School District,Total_Voters,Dem_Voters,Rep_Voters,Other_Voters,Male_Voters,Female_Voters,Unknown_Gender,Avg_Age,New_Registrations,Mail_Applications,Mail_Applications_Total,Mail_Applications_Approved,Mail_Applications_Declined,Mail_Ballots_Sent,Mail_Ballots_Returned,Mail_Ballots_Outstanding,Mail_Voters,Geo_Issue_Rows
ALLEGHENY,ASPINWALL,ASPINWALL 00 02,17,38,33,FOX CHAPEL AREA-REGION 3,558,313,136,109,222,265,71,49.9,2,56,61,56,5,56,32,24,32,0
ALLEGHENY,ASPINWALL,ASPINWALL 00 03,,,,,2,1,1,0,0,0,2,42.0,0,1,2,1,1,1,0,1,0,2
ALLEGHENY,ASPINWALL,ASPINWALL 00 03,17,38,33,FOX CHAPEL AREA-REGION 3,795,484,204,107,311,381,103,51.4,7,94,99,94,5,94,43,51,43,0
ALLEGHENY,AVALON,AVALON 01 00,,,,,1,0,0,1,0,0,1,43.0,0,0,1,0,1,0,0,0,0,1
ALLEGHENY,AVALON,AVALON 01 00,17,42,20,NORTHGATE,1061,600,264,197,433,497,131,46.1,3,87,99,87,12,84,36,51,36,0
ALLEGHENY,AVALON,AVALON 02 01,17,42,20,NORTHGATE,697,380,168,149,269,342,86,46.4,5,59,64,59,5,59,35,24,35,0
ALLEGHENY,AVALON,AVALON 02 02,17,42,20,NORTHGATE,465,265,118,82,184,235,46,55.2,3,61,67,61,6,61,38,23,38,0
ALLEGHENY,AVALON,AVALON 03 01,17,42,20,NORTHGATE,313,184,83,46,136,148,29,48.8,0,40,42,40,2,38,17,23,17,0
ALLEGHENY,AVALON,AVALON 03 02,,,,,2,2,0,0,0,0,2,34.5,0,2,2,2,0,2,0,2,0,2
ALLEGHENY,AVALON,AVALON 03 02,17,42,20,NORTHGATE,442,263,111,68,171,222,49,52.8,1,69,77,69,8,67,40,29,40,0
ALLEGHENY,AVALON,AVALON 03 03,,,,,1,0,0,1,0,0,1,28.0,0,0,1,0,1,0,0,0,0,1
ALLEGHENY,AVALON,AVALON 03 03,17,42,20,NORTHGATE,490,287,101,102,169,241,80,52.4,4,60,67,60,7,60,34,26,34,0
